"臺中市受保護樹木公告清單","","","","",""
"行政區","序號","樹木編號","樹種","座落","地點"
"大里區","1.0","2801001.0","榕樹","大元段","1004-2"
"","2.0","2801002.0","榕樹","大元段","860-1"
"","3.0","2802001.0","茄苳","大衛段","28.0"
"","4.0","2802002.0","樟樹","大里段","1342.0"
"","5.0","2802003.0","樟樹","大里段","1340.0"
"","6.0","2802004.0","榕樹","大衛段","991"
"","7.0","2806001.0","緬梔","向學段","1374.0"
"","8.0","2812001.0","茄苳","大峰段","283.0"
"","9.0","2812002.0","芒果","西湖北段","336.0"
"","10.0","2812003.0","芒果","西湖北段","336.0"
"","11.0","2812004.0","朴樹","西湖北段","353.0"
"","12.0","2812005.0","榕樹","西湖北段","794.0"
"","13.0","2812006.0","榕樹","西湖北段","795.0"
"","14.0","2812007.0","榕樹","西湖北段","795.0"
"","15.0","2812008.0","樟樹","西湖北段","475-2"
"","16.0","2812009.0","榕樹","西湖南段","209.0"
"","17.0","2815001.0","苦楝","東湖段","308-16"
"","18.0","2815002.0","九芎","東湖段","318"
"","19.0","2817001.0","榕樹","成功段","78.0"
"","20.0","2817002.0","樟樹","成功段","112.0"
"","21.0","2819001.0","芒果","詹厝園段","220-8"
"","22.0","2819002.0","榕樹","詹厝園段","172-18"
"","23.0","2819003.0","榕樹","詹厝園段","196-4"
"","24.0","2819004.0","刺桐","詹厝園段","198-3"
"","25.0","2820001.0","榕樹","健民段","593.0"
"","26.0","2823001.0","榕樹","仁城段","229"
"","27.0","2823002.0","榕樹","仁城段","229"
"","28.0","2825001.0","榕樹","福興段","354.0"
"","29.0","2825002.0","茄苳","福興段","452.0"
"","30.0","2825003.0","茄苳","福興段","462.0"
"","31.0","2825004.0","榕樹","福興段","484-1"
"","32.0","2825005.0","樟樹","舊街段","388-1"
"","33.0","2825006.0","茄苳","舊街段","400.0"
"","34.0","2827001.0","茄苳","涼傘樹段","834.0"
"東區","1","0201001","榕樹","旱新段","571.0"
"","2","0201002","榕樹","旱新段","571、572"
"","3","0202001","木麻黃","練武段","1022.0"
"","4","0202002","木麻黃","練武段","1022.0"
"","5","0202003","木麻黃","練武段","1022.0"
"","6","0202004","榕樹","練武段","396.0"
"","7","0204001","芒果","旱溪段","323-14"
"","8","0204002","榕樹","旱溪段","301-23"
"","9","0204003","榕樹","旱溪段","302.0"
"","10","0204004","榕樹","旱溪段","303-7"
"","11","0204005","榕樹","旱溪段","302"
"東區","12","0205001","榕樹","旱溪段","182-365"
"","13","0205002","榕樹","旱溪段","182-365"
"","14","0205003","雀榕","旱溪段","181-16"
"","15","0209001","芒果","水源段","173.0"
"","16","0209002","龍眼","水源段","173.0"
"","17","0209003","榕樹","水源段","173.0"
"","18","0209004","榕樹","東勢子","59-1"
"","19","0209005","樟樹","東勢子","70.0"
"","20","0209006","榕樹","尚武段","210.0"
"","21","0210001","榕樹","頂橋子頭段","24-265"
"","22","0211001","銀樺","頂橋子頭段","67-54"
"","23","0211002","白千層","頂橋子頭段","67-11"
"","24","0211003","樟樹","頂橋子頭段","68-3"
"","25","0212001","榕樹","樂業段","9-11"
"","26","0212002","榕樹","樂業段","9-11"
"","27","0212003","榕樹","樂業段","9-2"
"","28","0212004","芒果","樂業段","10-17"
"","29","0212005","榕樹","樂業段","8-15"
"","30","0212008","榕樹","樂業段","11-9"
"","31","0212009","榕樹","樂業段","8-27"
"","32","0212010","茄苳","旱溪段","272-3"
"","33","0213001","象牙木","花園段一小段","18.0"
"","34","0213002","木麻黃","忠孝段二小段","4.0"
"","35","0213003","木麻黃","忠孝段二小段","4.0"
"","36","0213004","木麻黃","忠孝段二小段","4.0"
"","37","0213005","木麻黃","忠孝段二小段","4.0"
"","38","0213006","鳳凰木","花園段四小段","1-8"
"","39","0216001","榕樹","復興段四小段","1-2"
"","40","0216002","榕樹","復興段三小段","1.0"
